Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label,Batch_ID
170,63.9,89.96666666666667,0.49689500000000003,1,14
171,60.6,89.73333333333333,0.39813666666666664,1,14
172,61.4,89.46666666666667,0.7035066666666666,1,14
173,62.3,90.46666666666667,0.38824500000000006,1,14
174,63.6,88.66666666666667,0.7071116666666666,1,14
175,64.86666666666666,87.93333333333334,0.436135,1,14
176,63.1,90.33333333333333,0.7370766666666667,1,14
177,62.7,90.46666666666667,0.4718133333333333,1,14
178,62.733333333333334,90.23333333333333,0.18786833333333333,1,14
179,66.0,88.4,0.4522616666666667,1,14
180,64.06666666666666,89.0,0.4822166666666667,1,14
181,64.76666666666667,89.9,0.31955666666666666,1,14
182,68.16666666666667,88.4,0.304145,1,14
183,63.6,89.43333333333334,0.6053866666666666,1,14
184,65.9,89.36666666666666,-0.09552333333333335,1,14
185,63.0,89.2,0.37629166666666664,1,14
186,62.666666666666664,89.9,0.16741499999999998,1,14
187,62.03333333333333,89.4,0.3726083333333333,1,14
188,62.333333333333336,90.76666666666667,0.4151616666666667,1,14
189,64.7,88.46666666666667,0.355265,1,14
190,63.9,89.33333333333333,0.370825,1,14
191,63.1,88.83333333333333,-0.006820000000000002,1,14
192,63.03333333333333,89.83333333333333,0.2972483333333333,1,14
193,64.3,88.33333333333333,0.24354,1,14
194,65.73333333333333,89.0,0.18155666666666667,1,14
195,67.9,88.86666666666666,0.35810666666666674,1,14
196,66.66666666666667,89.1,0.3753466666666666,1,14
197,64.33333333333333,89.23333333333333,0.039014999999999994,1,14
198,63.46666666666667,89.86666666666666,0.35752,1,14
199,64.06666666666666,89.4,0.30558833333333335,1,14
200,65.43333333333334,89.4,0.14887833333333333,1,14
201,64.1,88.36666666666666,-0.053685000000000045,1,14
202,64.06666666666666,89.53333333333333,0.1696083333333333,1,14
203,61.833333333333336,90.13333333333334,0.3421166666666667,1,14
204,62.833333333333336,88.13333333333334,0.20999666666666664,1,14
205,62.03333333333333,90.1,0.3808166666666667,1,14
206,63.9,89.53333333333333,0.36321333333333333,1,14
207,63.43333333333333,89.36666666666666,0.39277,1,14
208,61.666666666666664,89.4,-0.11762333333333334,1,14
209,64.53333333333333,88.0,0.42013833333333334,1,14
210,62.86666666666667,88.66666666666667,0.03755999999999999,1,14
211,63.666666666666664,89.6,0.37856,1,14
212,62.96666666666667,89.33333333333333,0.38046166666666664,1,14
213,63.53333333333333,89.13333333333334,0.325945,1,14
214,63.7,89.5,0.28343999999999997,1,14
215,65.26666666666667,88.86666666666666,0.3955016666666667,1,14
216,62.8,89.8,-0.013780000000000014,1,14
217,64.16666666666667,88.9,-0.3707766666666667,1,14
218,62.53333333333333,89.16666666666667,0.32211999999999996,1,14
219,63.266666666666666,88.0,0.385225,1,14
220,61.63333333333333,90.16666666666667,0.24785666666666667,1,14
221,61.63333333333333,90.03333333333333,0.283545,1,14
222,60.7,90.06666666666666,0.027396666666666666,1,14
223,61.7,90.13333333333334,0.24834833333333334,1,14
224,63.9,87.63333333333334,0.31517999999999996,1,14
225,61.63333333333333,89.16666666666667,0.2910233333333333,1,14
226,60.96666666666667,89.63333333333334,0.16535833333333333,1,14
227,61.63333333333333,90.06666666666666,0.33685333333333334,1,14
228,62.13333333333333,89.16666666666667,0.3093316666666667,1,14
229,63.4,89.03333333333333,-0.23972166666666664,1,14
