Model,Threshold,Sensitivity,Specificity,False_Positive_Rate,False_Negative_Rate,Precision,F1,Balanced_Accuracy,TN,FP,FN,TP
Random Forest,0.56,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.5700000000000001,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.5800000000000001,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.59,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Random Forest,0.61,0.9974502804691484,1.0,0.0,0.0025497195308516064,1.0,0.9987235128925198,0.9987251402345743,1143,0,5,1956
Random Forest,0.62,0.9898011218765935,1.0,0.0,0.010198878123406425,1.0,0.9948744233726294,0.9949005609382968,1143,0,20,1941
Random Forest,0.63,0.9790922998470168,1.0,0.0,0.020907700152983173,1.0,0.9894357124452461,0.9895461499235084,1143,0,41,1920
Random Forest,0.64,0.9653238143804181,1.0,0.0,0.03467618561958185,1.0,0.9823559937727037,0.9826619071902091,1143,0,68,1893
Random Forest,0.65,0.9546149923508415,1.0,0.0,0.04538500764915859,1.0,0.9767805896164884,0.9773074961754207,1143,0,89,1872
Random Forest,0.66,0.9479857215706272,1.0,0.0,0.05201427842937277,1.0,0.9732984293193717,0.9739928607853137,1143,0,102,1859
Random Forest,0.67,0.9423763386027537,1.0,0.0,0.057623661397246305,1.0,0.9703334208453662,0.9711881693013769,1143,0,113,1848
Random Forest,0.68,0.9357470678225395,1.0,0.0,0.06425293217746048,1.0,0.9668071654373024,0.9678735339112697,1143,0,126,1835
Random Forest,0.6900000000000001,0.9245283018867925,1.0,0.0,0.07547169811320754,1.0,0.9607843137254902,0.9622641509433962,1143,0,148,1813
Random Forest,0.7000000000000001,0.9133095359510454,1.0,0.0,0.08669046404895461,1.0,0.9546908315565032,0.9566547679755226,1143,0,170,1791
Random Forest,0.7100000000000001,0.8980112187659357,1.0,0.0,0.10198878123406425,1.0,0.9462654486835035,0.9490056093829679,1143,0,200,1761
Random Forest,0.72,0.8867924528301887,1.0,0.0,0.11320754716981132,1.0,0.94,0.9433962264150944,1143,0,222,1739
Random Forest,0.73,0.8663946965833759,1.0,0.0,0.13360530341662416,1.0,0.928415300546448,0.933197348291688,1143,0,262,1699
Random Forest,0.74,0.8465068842427333,1.0,0.0,0.1534931157572667,1.0,0.9168737917702292,0.9232534421213667,1143,0,301,1660
Random Forest,0.75,0.8286588475267721,1.0,0.0,0.17134115247322795,1.0,0.9063022866703848,0.9143294237633861,1143,0,336,1625
Random Forest,0.76,0.8097909229984702,1.0,0.0,0.19020907700152984,1.0,0.8948999718230487,0.904895461499235,1143,0,373,1588
Random Forest,0.77,0.788883222845487,1.0,0.0,0.211116777154513,1.0,0.8819840364880274,0.8944416114227435,1143,0,414,1547
Random Forest,0.78,0.7587965323814381,1.0,0.0,0.24120346761856196,1.0,0.862858799652073,0.879398266190719,1143,0,473,1488
Random Forest,0.79,0.7302396736359,1.0,0.0,0.26976032636409997,1.0,0.8440907751252579,0.86511983681795,1143,0,529,1432
Random Forest,0.8,0.7067822539520653,1.0,0.0,0.2932177460479347,1.0,0.8282043621153271,0.8533911269760326,1143,0,575,1386
Random Forest,0.81,0.6930137684854666,1.0,0.0,0.3069862315145334,1.0,0.8186746987951807,0.8465068842427332,1143,0,602,1359
Random Forest,0.8200000000000001,0.6731259561448241,1.0,0.0,0.32687404385517593,1.0,0.8046327339225846,0.836562978072412,1143,0,641,1320
Random Forest,0.8300000000000001,0.6562978072412035,1.0,0.0,0.34370219275879654,1.0,0.7924876847290641,0.8281489036206018,1143,0,674,1287
Random Forest,0.8400000000000001,0.6353901070882203,1.0,0.0,0.3646098929117797,1.0,0.7770502026816339,0.8176950535441101,1143,0,715,1246
Random Forest,0.85,0.6160122386537481,1.0,0.0,0.3839877613462519,1.0,0.7623856106027138,0.808006119326874,1143,0,753,1208
Random Forest,0.86,0.592044875063743,1.0,0.0,0.407955124936257,1.0,0.74375400384369,0.7960224375318715,1143,0,800,1161
Random Forest,0.87,0.5685874553799082,1.0,0.0,0.43141254462009176,1.0,0.7249674902470741,0.7842937276899541,1143,0,846,1115
Random Forest,0.88,0.5385007649158593,1.0,0.0,0.46149923508414076,1.0,0.7000331455087836,0.7692503824579296,1143,0,905,1056
Random Forest,0.89,0.5048444671086181,1.0,0.0,0.4951555328913819,1.0,0.6709589969501863,0.752422233554309,1143,0,971,990
Random Forest,0.9,0.4696583375828659,1.0,0.0,0.5303416624171341,1.0,0.6391394864677308,0.734829168791433,1143,0,1040,921
Random Forest,0.91,0.4395716471188169,1.0,0.0,0.5604283528811831,1.0,0.6106978391781792,0.7197858235594085,1143,0,1099,862
Random Forest,0.92,0.4074451810300867,1.0,0.0,0.5925548189699134,1.0,0.5789855072463768,0.7037225905150434,1143,0,1162,799
Random Forest,0.93,0.37021927587965325,1.0,0.0,0.6297807241203468,1.0,0.5403796055080015,0.6851096379398266,1143,0,1235,726
Random Forest,0.9400000000000001,0.3314635390107088,1.0,0.0,0.6685364609892912,1.0,0.497893527384144,0.6657317695053544,1143,0,1311,650
Random Forest,0.9500000000000001,0.28403875573686893,1.0,0.0,0.715961244263131,1.0,0.44241461477362987,0.6420193778684344,1143,0,1404,557
Random Forest,0.9600000000000001,0.2330443651198368,1.0,0.0,0.7669556348801632,1.0,0.37799834574028124,0.6165221825599184,1143,0,1504,457
Random Forest,0.97,0.20805711371749108,1.0,0.0,0.791942886282509,1.0,0.344449134655973,0.6040285568587456,1143,0,1553,408
Random Forest,0.98,0.1366649668536461,1.0,0.0,0.8633350331463538,1.0,0.240466576940332,0.5683324834268231,1143,0,1693,268
Random Forest,0.99,0.07955124936257012,1.0,0.0,0.9204487506374299,1.0,0.1473783656117147,0.539775624681285,1143,0,1805,156
Gradient Boosting,0.01,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.02,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.03,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.04,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.05,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.060000000000000005,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.06999999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.08,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.09,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.09999999999999999,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.11,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.12,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.13,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.14,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.15000000000000002,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.16,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.17,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.18000000000000002,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.19,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.21000000000000002,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.22,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.23,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.24000000000000002,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.26,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.27,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.28,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.29000000000000004,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.31,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.32,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
Gradient Boosting,0.33,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1143,0,0,1961
